state,expt city,subject,own,meta,confidence,actual
Iowa,Des_Moines,b2,1,0.7,1,1
Iowa,Des_Moines,b3,0,0.43,0.5,1
Iowa,Des_Moines,b4,1,0.7,0.7,1
Iowa,Des_Moines,b5,1,0.9,0.85,1
Iowa,Des_Moines,c1,1,0.9,1,1
Iowa,Des_Moines,c2,1,0.4,0.8,1
Iowa,Des_Moines,c3,1,0.9,0.9,1
Iowa,Des_Moines,c4,1,0.07,0.9,1
Iowa,Des_Moines,d10,1,0.6,0.5,1
Iowa,Des_Moines,d2,0,0.5,0.5,1
Iowa,Des_Moines,d3,1,0.8,0.9,1
Iowa,Des_Moines,d6,1,0.5,0.5,1
Iowa,Des_Moines,d6b,1,0.75,0.6,1
Iowa,Des_Moines,d7,1,0.7,0.9,1
Iowa,Des_Moines,d8,1,0.85,1,1
Iowa,Des_Moines,d9,1,0.6,0.5,1
Kansas,Wichita,52966,1,0.75,0.85,0
Kansas,Wichita,sub1,0,0.6,0.5,0
Kansas,Wichita,31720,0,0.67,1,0
Kansas,Wichita,31828,1,0.5,0.5,0
Kansas,Wichita,32008,0,0.7,1,0
Kansas,Wichita,33550,0,0.5,0.5,0
Kansas,Wichita,43924,1,0.7,0.7,0
Kansas,Wichita,44383,0,0.4,0.6,0
Kansas,Wichita,52807,1,0.55,0.99,0
Kansas,Wichita,57337,1,0.4,0.6,0
Kansas,Wichita,57346,1,0.85,1,0
Kansas,Wichita,57394,0,0.15,1,0
Kansas,Wichita,57427,0,0.6,0.75,0
Kansas,Wichita,57436,0,0.7,1,0
Kansas,Wichita,666,0,0.6,1,0
Kansas,Wichita,a,1,0.82,1,0
Kansas,Wichita,a2,0,0.8,0.75,0
Kansas,Wichita,b2,0,0.6,1,0
Kansas,Wichita,b3,1,0.55,0.6,0
Kansas,Wichita,b4,0,0.7,0.9,0
Kansas,Wichita,b5,1,0.8,0.6,0
Kansas,Wichita,c1,1,0.7,0.7,0
Kansas,Wichita,c2,0,0.5,0.7,0
Kansas,Wichita,c3,1,0.9,0.9,0
Kansas,Wichita,c4,0,0.6,0.7,0
Kansas,Wichita,d10,1,0.3,0.5,0
Kansas,Wichita,d2,0,0.1,1,0
Kansas,Wichita,d3,0,0.5,0.5,0
Kansas,Wichita,d6,1,0.5,0.5,0
Kansas,Wichita,d6b,1,0.6,0.5,0
Kansas,Wichita,d7,1,0.5,0.6,0
Kansas,Wichita,d8,1,0.8,1,0
Kansas,Wichita,d9,1,0.5,0.5,0
Kentucky,Louisville,52966,1,0.7,0.9,0
Kentucky,Louisville,sub1,1,0.6,0.5,0
Kentucky,Louisville,31720,0,0.5,0.8,0
Kentucky,Louisville,31828,0,0.5,0.5,0
Kentucky,Louisville,32008,0,0.7,0.8,0
Kentucky,Louisville,33550,1,0.8,1,0
Kentucky,Louisville,43924,1,0.8,0.8,0
Kentucky,Louisville,44383,0,0.6,0.6,0
Kentucky,Louisville,52807,0,0.66,0.66,0
Kentucky,Louisville,57337,0,0.5,0.6,0
Kentucky,Louisville,57346,1,0.8,0.7,0
Kentucky,Louisville,57394,0,0.25,1,0
Kentucky,Louisville,57427,1,0.8,0.7,0
Kentucky,Louisville,57436,0,0.5,0.8,0
Kentucky,Louisville,666,0,0.4,1,0
Kentucky,Louisville,a,1,0.76,0.9,0
Kentucky,Louisville,a2,0,0.8,0.85,0
Kentucky,Louisville,b2,1,0.85,0.9,0
Kentucky,Louisville,b3,1,0.68,0.6,0
Kentucky,Louisville,b4,1,0.7,0.5,0
Kentucky,Louisville,b5,1,0.8,0.65,0
Kentucky,Louisville,c1,0,0.7,0.8,0
Kentucky,Louisville,c2,0,0.6,0.6,0
Kentucky,Louisville,c3,0,0.8,1,0
