title,subject,actual_price,actual,own_price_bin,own,meta
tree of life,PandaBear,9000,0,1,0,0.5
Flannan,PandaBear,936000,1,2,1,0.3
Calvary,PandaBear,850,0,2,1,0.5
RED CHANGER,PandaBear,9100,0,0,0,0.4
Samurai,PandaBear,85,0,2,1,0.4
Standing Male Nude in the Shower,PandaBear,1160000,1,2,1,0.4
Folly,PandaBear,1200,0,2,1,0.8
a place,PandaBear,60,0,2,1,0.8
Nude Aqua,PandaBear,70,0,2,1,0.25
Bruce Bernard,PandaBear,119556,1,1,0,0.6
Yellow spin,PandaBear,6000,0,2,1,0.5
The still life with the flowers,PandaBear,650,0,0,0,0.6
dance in the living room,PandaBear,8000,0,2,1,0.3
Birdie View II,PandaBear,1625,0,2,1,0.3
Rhythmic Structure,PandaBear,4500,0,2,1,0.6
Dilusion,PandaBear,750,0,2,1,0.1
On The Couch,PI,700,0,1,0,0.3
conversation with spoonbill,PI,50,0,1,0,0.3
Nu debout,PI,689600,1,0,0,0.15
ramana,PI,9600,0,1,0,0.3
Captives,PI,779200,1,2,1,0.6
Intruder,PI,20,0,1,0,0.6
Midsummer Night,PI,650,0,1,0,0.5
Waiting for the rain,PI,100,0,0,0,0.4
Flor,PI,800,0,2,1,0.4
Red Irises,PI,2500,0,2,1,0.6
celestial,PI,1900,0,1,0,0.5
Amazing land,PI,89,0,0,0,0.3
Lotus Rising,PI,14400,0,0,0,0.3
Mandala No3,PI,1500,0,0,0,0.5
Quality Material,PI,4408000,1,1,0,0.3
It is my thing this Evening,PI,4500,0,0,0,0.4
Untitled - P137,PI,1810276,1,0,0,0.25
Canada Two Toronto,PI,8550,0,1,0,0.3
Night,PI,1384000,1,1,0,0.6
"Untitled (Monsieur Francois Pinault, President du Groupe Artemis)",PI,240000,1,0,0,0.2
Head and Bottle,PI,6536000,1,0,0,0.45
Keep Me Safe,PI,119556,1,1,0,0.4
Mouth #2,PI,2168000,1,1,0,0.6
M-39,PI,96000,1,1,0,0.5
Armenian Question,PI,288000,1,1,0,0.5
Lip-biter,PI,384000,1,1,0,0.5
Elemental 11,PI,675,0,1,0,0.5
Interval Series apolyo,PI,9000,0,2,1,0.4
Galloping Horse Blur,PI,1200,0,0,0,0.3
Squirrel Hole,PI,85,0,1,0,0.3
Red Scarf,PI,54000,1,2,1,0.6
Prelude,PI,7500,0,2,1,0.7
Asleep,PI,2500,0,2,1,0.45
